Unnamed: 0,번호,제목,저자,출판사,출판일
,28,"The Personality of AI Systems in Education: Experiences with the Watson Tutor, a one-on-one virtual tutoring system","Afzal, Shazia; Dempsey, Bryan; D'Helon, Cassius; Mukhi, Nirmal; Pribic, Milena; Sickler, Aaron; Strong, Peggy; Vanchiswar, Mira; Wilde, Lorin",Taylor & Francis,2019
,29,A Fair Judge of Learning: Experiments with a Robot Manipulator Using a Pen,"Hexmoor, H.;Egert, C.;Cuddihy, E.",Florida AI Research Society,1997
,30,The Impact of Artificial Intelligence in Accounting Work: Expert Systems Use in Auditing and Tax,"O'Leary, D. E.",SPRINGER VERLAG KG,1997
,31,CAN WE SOLVE AI'S `TRUST PROBLEM'?,"Davenport, Thomas H.",SLOAN MANAGEMENT REVIEW ASSOCIATION,2019
,32,An AI Approach to Analyze AKB48,"Matsuo, Y.; Yoshida, K.; Sakaki, T.",JAPANESE SOC ARTIFICIAL INTELL,2015
,33,Great potential seen in AI-powered medical imaging,unknown,K.H. BIOTECH SERVICES,2019
,34,Religion in Daily Life in the Open-Air Museum - The Example of the Hessenpark Open-Air Museum,"Janisch, P.",Ulster Folk and Transport Museum,1995
,35,Meaning Making and Growth: New Directions for Research on Survivors of Trauma,"Park, C. L.; AI, A. L.",PSYCHOLOGY PRESS,2006
,36,"Exploration of the mechanism of traditional Chinese medicine by AI approach using unsupervised machine learning for cellular functional similarity of compounds in heterogeneous networks, XiaoErFuPi granules as an example","Guo, Feifei; Tang, Xuan; Zhang, Wen; Wei, Junying; Tang, Shihuan; Wu, Hongwei; Yang, Hongjun","Elsevier Science B.V., Amsterdam",2020
,37,The effects of chest percussion and vibration at Bei Shu Points on sputum expectoration among patients undergoing mechanical ventilation,"Zhang,  Jin-feng; Wang,  Ai-min; Xu,  Li-hui; Zhu,  Zheng-an",THE CHINESE NURSING ASSOCIATION,2016
,38,AI Methods in Algorithmic Composition: A Comprehensive Survey,"Fernandez, J.D.; Vico, F.",Association for the Advancement of Artificial Intelligence,2013
,39,暮らしの中で活躍するAIとロボット：8．ラジオ界初のAIアシスタント　AIが拡張するラジオの可能性=Robots and AI Being Active in Daily Living：7. The First AI Assistant in the Radio Industry AI Extends Possibilities of the Radio,岡田 明,情報處理學會,2018
,40,Collaborative Learning and AI,"Miyake, N.",JAPANESE SOC ARTIFICIAL INTELL,2008
,41,AI Research in the People's Republic of China,"Guoxing, H.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,1995
,42,Ai Weiwei: Acting Is Believing,"Cheng, M.",MIT PRESS,2011
,43,"Poly(N-methylaniline)/Montmorillonite Composite: Chemical Synthesis, Characterization, and Application in Water Treatment","Ai, L. H.; Wang, X. B.; Chen, Z. L.; Jiang, J.",Taylor & Francis,2010
,44,"Towards empathy: a human-centred analysis of rationality, ethics and praxis in systems development","Carew, P. J.; Stapleton, L.",SPRINGER VERLAG KG,2014
,45,Building Watson: An Overview of the DeepQA Project,"Ferrucci, D.; Brown, E.; Chu-Carroll, J.; Fan, J.; Gondek, D.; Kalyanpur, A.A.; Lally, A.; Murdock, J.W.; Nyberg, E.; Prager, J.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2010
,46,Software Secretary Kernel: An Extendable Architecture for Learning and Negotiating Personal Assistants,"Bocionek, S.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,1994
,47,Challenges in Designing a Virtual Volunteer Organization: The Case of IS World Net,"Magal, S. R.; Ives, B.; Mandviwala, M.",AIS,1997
,48,An Effective PSO and AIS-Based Hybrid Intelligent Algorithm for Job-Shop Scheduling,"Ge, H.-W.; Sun, L.; Liang, Y.-C.; Qian, F.",unknown,2008
,49,Survey of Meal Delivery Service for the Elderly,"Kisumi,  Keiko; Asonuma,  Miki; Shimomura,  Kumiko; Honda,  Ai; Nakamura,  Osamu; Akinaga,  Yuko",JAPAN SOCIETY OF HOME ECONOMICS,2015
,50,AI for medical imaging goes deep,Daniel S. W. Ting; Yong Liu; Philippe Burlina; Xinxing Xu; Neil M. Bressler; Tien Y. Wong,Nature Publishing Company,2018
,51,Dai ricordi ai memoriali: libri di famiglia in Umbria tra Medioevo ed Eta moderna,"Irace, E.",Edizioni de Storia e Letteratura,2001
,52,Bottlenecks in the Process of Improving ICT Infrastructure in Developing Countries: A Chinese Perspective,"Akkaladevi, S.; Luo, X.","Atlanta, Ga.; Association for Information Systems",2008
,53,Linguistics and AI — The Changing Role of Linguistics in Advancing NLP Technologies —,"Hayashi,  Yoshihiko",JAPANESE SOC ARTIFICIAL INTELL,2017
,54,E-health Readiness and Its Influences on E-health Transformation Success: A Change Perspective,"Wu, J.-H.; Kao, H.-Y.; Sambamurthy, V.",New York; Curran,2009
,55,Histological changes in muscle tissues with acute injury following cryotherapy,"Peng, S.; Ruo-wu, S.; Ai-yu, J.",UNKNOWN,2011
,56,Artificial intelligence and organizational learning: How can AI contribute to organizational learning?,"Tsuchiya, S.",AAAI Press,1993
,57,Using AI techniques to support advanced interaction capabilities in a virtual assistant for e-commerce,"Garcia-Serrano, A. M.; Martinez, P.; Hernandez, J. Z.","Elsevier Science B.V., Amsterdam.",2004
,58,AI EDAM at 20: Artificial Intelligence in Designing,"Gero, J. S.",ACADEMIC PRESS,2007
,59,A Novel Hybrid Approach of Mean Field Annealing and Genetic Algorithm for Load Balancing Problem,"Hong, C.; Kim, W.; Kim, Y.",Berlin; London; Springer,2004
,60,Toward Human-Centered AI: A Perspective from Human-Computer Interaction,"Xu, Wei","ASSOCIATION FOR COMPUTING MACHINERY, INC.",2019
,61,Predicting wet age-related macular degeneration (AMD) using DARC (detecting apoptosing retinal cells) AI (artificial intelligence) technology,"Corazza, Paolo; Maddison, John; Bonetti, Paolo; Guo, Li; Luong, Vy; Garfinkel, Alan; Younis, Saad; Cordeiro, Maria Francesca",Informa Healthcare,2021
,62,LID Facilities Layout and Optimization in an Area in Shenzhen Based on SWMM,"Hu,  Ai-bing",CHINA WATER AND WASTEWATER JOURNAL PUBLISHING,2015
,63,AI Technologies in Green Architecture Field: Statistical Comparative Analysis,"Elshafei, Ghada; Negm, Abdelazim",Elsevier,2017
,64,Paradox of choice and consumer nonpurchase behavior,"Kinjo, K.; Ebina, T.",SPRINGER VERLAG KG,2015
,65,ERF-VII members exhibit synergistic and separate roles in Arabidopsis,"Yao, Yuan; Chen, Xiaoyang; Wu, Ai-Min",Taylor & Francis,2017
,66,The Impact of AI to the Society: Toward Beneficial AI,"Maeda,  Haruka",Japanese Society for Artificial Intelligence,2018
,67,LLC converter with series-parallel connection based on chip UC3863,"Jin,  Ai-juan; Ni,  Si-song; Yin,  Peng-hong; Zhang,  Yi; Li,  Shao-long",TIANJIN INSTITUTE OF POWER SOURCES,2014
,68,Fintech: AI Powers Financial Services to Improve People's Lives,Yuan Qi; Jing Xiao,Association for Computing Machinery,2018
,69,"BEYOND THE TURING TEST Concluding that there is no one test for machine intelligence, AI researchers develop a battery of research challenges","You, J.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2015
,70,Screening of AHBA synthase gene and discovery of actinomycin D production in S. violaceusniger 4353,"Hui-tu, Z.; Ai-ming, L.; Lin-zhuan, W.",CHINESE JOURNAL OF ANTIBIOTIOS,2009
,71,Ai Weiwei: Sunflower Seeds,"Barrett, D.",BRITTANIA ART PUBLICATIONS LTD,2011
,72,Phase II Study of Sorafenib with Anastrozole To Overcome Resistance to Aromatase Inhibitors (AIs) in Patients with Hormone Receptor Positive (ER/PR+) AI Resistant Metastatic Breast Cancer (MBC),"Isaacs, C.; Wilkinson, M.; Liu, M.C.; Ottaviano, Y.; Chung, G.; Warren, R.; Jennifer, E.-W.; Cohen, P.; Smith, K.L.; Novielli, A.",American Association for Cancer Research,2009
,73,A Virtual Archive for the History of AI,"Buchanan, B.G.; Eckroth, J.; Smith, R.G.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2013
,74,AI and Machine Learning: The challenges of artificial intelligence in libraries.,"Griffey, Jason",American Library Asso.,2019
,75,Effects of mixing temperature on silanization reaction natural rubber composites filled with Si-69 in situ modified silica,"Liu,  Tao; Sun,  Xue-yang; Du,  Ai-hua",Lanzhou Petrochemical Company,2017
,76,Nvidia makes it easy to embed AI: The Jetson nano packs a lot of machine-learning power into DIY projects - [Hands on],"Cass, Stephen",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,77,GRANDE SUCCESSO DI CERAMITEC 2000 Le valutazioni di alcuni addetti ai lavori,"Biffi, G.",FAENZA EDITRICE,2000
,78,A tour of machine learning: An AI perspective,"Sebag, M.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2014
,79,AI's War on Manipulation: Are We Winning?,"Faliszewski, P.; Procaccia, A.D.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2010
,80,Aperçu Historique Du Dictionnaire Bilingue En Corée: Le Cas Des Dictionnaires Français-Coréen et Coréen-Français,"Choi, J.",Oxford University Press,2016
,81,AI Ethics Is Not a Panacea,"McLennan, Stuart; Lee, Meredith M.; Fiske, Amelia; Celi, Leo Anthony",Taylor & Francis,2020
,82,Smart Tools: A multi-representational approach to teaching functional relations,"Owens, S.; Biswas, G.; Nathan, M.; Zech, L.",Association for the Advancement of Computing in Education,1995
,83,AI: Fears of 'playing God' [Control & Automation Artificial Intelligence],"Gent, E.",Institution of Engineering and Technology,2015
,84,"Peace, Psychology and AI","Olbrich, A.; Hergovich, A.",Austrian Society for Cybernetic Studies,1998
,85,Using Al and machine learning to study expressive music performance: project survey and first report,"Widmer, G.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2001
,86,Visualization of labile zinc and its role in apoptosis of primary airway epithel,"Truong-Tran, Ai Q",unknown,2022
,87,"AI, Machine Learning, and Ethics in Health Care","Johnson, Sandra L. J.",Taylor & Francis,2019
,88,A new generation of AI: A review and perspective on machine learning technologies applied to smart energy and electric power systems,"Cheng, Lefeng; Yu, Tao","John Wiley & Sons, Ltd",2019
,89,"AI AND MACHINE LEARNING IN MANUFACTURING Artificial intelligence and machine learning promise to improve maintenance, quality and supply chain management","Sprovieri, John",HITCHCOCK PUBLISHING COMPANY,2019
,90,AI Technology and Research Reorganizing Based on Media Science and Technology,"Yokoi, T.",JAPANESE SOC ARTIFICIAL INTELL,1998
,91,Space Applications of Artificial Intelligence,"Chien, S.; Morris, R.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2014
,92,CAL: When education influences the design of an AI language,"Kabbaj, A.; Frasson, C.",Association for the Advancement of Computing in Education,1995
,93,Knowledge Acquisition Using Linguistic-Based Knowledge Analysis,"Schmoldt, D. L.",AI APPLICATIONS,1998
,94,A Reinforcement Learning Parser for Spoken Language,"Jeong, H.;Hwang, K. I.;Seo, M. W.",CSREA Press,1999
,95,The reliability and validity of the Chinese version of Menstrual Distress Questionnaire,"Zhang,  Yong-ai; Li,  Xiao-mei; Zhang,  Hai-miao; Tang,  Zheng-yan",THE CHINESE NURSING ASSOCIATION,2015
,96,"Three Roads to Complexity, AI and the Law of Robots: On Crimes, Contracts, and Torts","Pagallo, U.",SPRINGER-VERLAG,2012
,97,Influences of different cryoprotectants by ladder-style freezing from low temperature refrigerator to liquid nitrogen on cryopreservation of hemopoietic stem cells,"Tong-hua, Y.; Ren-bin, Z.; Ya-xian, J.; Hong-mei, O.; Ai-ling, Z.; Peng, H.; Jian-qiong, L.; Yan, W.",UNKNOWN,2011
,98,European Union Regulations on Algorithmic Decision Making and a ``Right to Explanation'',"Goodman,  Bryce; Flaxman,  Seth",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,99,AI and Law: A fruitful synergy,"Rissland, E. L.; Ashley, K. D.; Loui, R. P.","Elsevier Science B.V., Amsterdam.",2003
,100,"AI @ Work: ANGOSS Software Corp., Harlequin Inc., and Salford Systems share applications and behind-the-scene looks at their technologies",unknown,"KNOWLEDGE TECHNOLOGY, INC.",1999
,1,"Quantum computation, quantum theory and AI","Ying, M.","Elsevier Science B.V., Amsterdam.",2010
,2,Research Methodology for AI and Design,"Steinberg, L.",ACADEMIC PRESS,1994
,3,Big Data and AI : Predictive Maintenance for All : Utilization of Predictive Maintenance Data by Cutting-edge Sensing Technologies,Yasuo MATSUOKA,日本非破壞檢査協會,2018
,4,"Serious Games for Language Learning: How Much Game, How Much AI?","Johnson, W.L.; Vilhjalmsson, H.; Marsella, S.","Washington, DC; Oxford; IOS Press",2005
,5,"Comment on ""Nb/AI-AIOx-AI/Ta/Nb Detection"" [Appl. Phys. Lett. 66,511 (1995)]","Prober, D. E.",American Institute of Physics,1995
,6,AI in manufacturing,D. Valliere,Penton Pub,1988
,7,Incorporating AI into Effective Learning Environments,"Edelson, D.;Kass, A.;Bareiss, R.;Collins, A.",University of Texas,1993
,8,"Who needs democracy when you have data? Here's how China rules using data, AI, and internet surveillance","Larson, Christina",TECHNOLOGY REVIEW,2018
,9,Chinese artist Ai Weiwei profiled,"Mitchell, B.",TOWER PUBLISHING,2004
,10,Performance Evaluation of an Agent Based Distributed Data Mining System,"Baik, S.; Cho, J.; Bala, J.",Berlin; London; Springer,2005
,11,"EXHIBITION: HANSEL & GRETEL AI WEIWEI, HERZOG & DE MEURON","Plagens,  Peter",MCGRAW-HILL DATA SERVICES,2017
,12,Ai Weiwei's childlike vandalism of ancient pots contains a potent political message,unknown,EMAP ARCHITECTURE,2011
,13,Mathematics Wall: Enriching Mathematics Education Through AI,"Phon-Amnuaisuk,  Somnuk; Omar,  Saiful; Au,  Thien-Wan; Ramlie,  Rudy",Springer,2015
,14,IADC/SPE 155672 Research and Application of Automatic Vertical Drilling System,"Ai, C.; Han, Z.; Mu, Z.; Zuo, X.; Tian, H.; Xian, H.",New York; Curran,2012
,15,Using Trust-TAM to Explain Software Component Adoption,"Pardue, J.; Landry, J.",New York; Curran,2009
,16,"Applying AI Technology to the Operation of Smart Farm Robot (S & M 1898, Sensor Applications)","Chen, Joy Iong-Zong; Hengjinda, Pisith",SCIENTIFIC PUBLISHING DIVISION MYU,2019
,17,New application of dydrogesterone as a part of a progestin-primed ovarian stimulation protocol for IVF: a randomized controlled trial including 516 first IVF/ICSI cycles,"Yu, S.; Long, H.; Chang, H. Y.; Liu, Y.; Gao, H.; Zhu, J.; Quan, X.; Lyu, Q.; Kuang, Y.; Ai, A.",Oxford University Press,2018
,18,Phonologica: Quantum Physics Meets AI?,unknown,COMPUTER SOCIETY,2005
,19,More Than Fun and Money. Worker Motivation in Crowdsourcing - A Study on Mechanical Turk,"Kaufmann, N.; Schulze, T.; Veit, D.",Red Hook; Curran,2011
,20,"MACHINE LEARNING/AI This new department highlights research on machine learning, including a metamaterial made by artificial intelligence",unknown,ASM INTERNATIONAL,2020
,21,ARES 2: A Tool for Evaluating Cooperative and Competitive Multi-agent Systems,"Denzinger, J.; Kidney, J.",Berlin; London; Springer,2005
,22,Development of an Artificial Diet for Rearing Conogethes punctiferalis (Lepidoptera: Crambidae),"Du,  Yan-Li; Ai,  Peng-Peng; Lang,  Li-Xin; Zhang,  Min-Zhao; Sun,  Shu-Ling",Georgia Entomological Society; 1999,2015
,23,Ai Weiwei: Never Sorry,"Kraicer, S.",CINEASTE PUBLISHERS INC,2012
,24,Development of a Questionnaire Measuring Sexual Mental Health of Tibetan University Students,"Chen,  Jun-cheng; Yan,  Yu-ruo; Ai,  Li",SICHUN UNIVERSITY,2016
,25,Effects of different wheat flour properties on the quality of quick-frozen dumpling skin,"Ai, Zhilu",UNKNOWN,2019
,26,"Editors' Introduction to ``AI, Art and Aesthetics''","Takahashi, Koichi; Kusakari, Mika; Nakazawa, Hideki",Japanese Society for Artificial Intelligence,2018
,27,Effect of Sintering Temperature on Microstructure and Mechanical Properties of Al~2O~3-TiC-ZrO~2 Ceramic Composites,"Liu, W.M.; Ai, X.; Zhao, J.; Zhou, Y.H.",TRANS TECH PUBLICATION LTD,2012
,28,Herzog &amp; de Meuron/Ai Weiwei Serpentine Pavilion,unknown,ARCHITECTURAL PRESS LTD,2012
,29,Dynamic Maps in Monte Carlo Localization,"Milstein, A.",Berlin; London; Springer,2005
,30,Embedding AI into CAD for Architects,"Lai, E. M.-K.; Hon Wai Chun",IITT International,1994
,31,AI in talent acquisition: a review of AI-applications used in recruitment and selection,"Albert, Edward Tristram",Emerald Group Publishing Ltd,2019
,32,How artificial intelligence (AI) could have helped our medical education during the COVID-19 pandemic – A student's perspective,"Abhee, Stasha Sonia; Phillips, Richard",Informa Healthcare,2020
,33,Applications of Machine Learning Methods in Drug Toxicity Prediction,"Zhang, Li; Zhang, Hui; Ai, Haixin; Hu, Huan; Li, Shimeng; Zhao, Jian; Liu, Hongsheng",Bentham Science Publishers Ltd,2018
,34,AI and architecture,"Pentecost, A. Ray; Persefield, William W.",AMERICAN HOSPITAL PUBLISHING,2019
,35,Addressing Employer and Student Needs in AIS Education through a Platform Approach to Curriculum Development,"Schwarzkopf, D. L.; Fedorowicz, J.",AIS,1998
,36,Quorum Sensing in Gram-Negative Bacteria: Small-Molecule Modulation of AHL and AI-2 Quorum Sensing Pathways,"Galloway, W.R.J.D.; Hodgkinson, J.T.; Bowden, S.D.; Welch, M.; Spring, D.R.",ACS AMERICAN CHEMICAL SOCIETY,2011
,37,Art and robotics: sixty years of situated machines,"Penny, S.",SPRINGER VERLAG KG,2013
,38,Urban spatial information services based on service-oriented grid architecture [6795-235],"Mou, N.; Zhang, L.; Ai, B.; Liu, W.","Bellingham, Wash.; SPIE",2008
,39,AI-Enabled Emotion Communication,"Li, Yujie; Jiang, Yinging; Tian, Daxin; Hu, Long; Lu, Huimin; Yuan, Zhiyong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,40,Combined effects of lactotripeptide and aerobic exercise on cognitive function and cerebral oxygenation in middle-aged and older adults,Ai Hamasaki; Nobuhiko Akazawa; Toru Yoshikawa; Kanae Myoenzono; Koichiro Tanahashi,"Journal of Clinical Nutrition, Inc.",2019
,41,Improving End-User Satisfaction through Techno-Stress Prevention: Some Empirical Evidences,"Tu, Q.; Tarafdar, M.; Ragu-Nathan, T.; Ragu-Nathan, B.","Atlanta, Ga.; Association for Information Systems",2008
,42,"A clustering coefficient for weighted networks, with application to gene expression data","Kalna, G.; Higham, D.J.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2007
,43,Doug Lenat's AI project quietly goes public,unknown,CDS COMMUNICATIONS DATA SERVICES,2002
,44,AN INTRODUCTION TO AI IN SORTING TECHNOLOGIES,unknown,GIE PUBLISHERS INC,2019
,45,A Human-Like Robot Torso ZAR5 with Fluidic Muscles: Toward a Common Platform for Embodied AI,"Boblan, I.; Bannasch, R.; Schulz, A.; Schwenk, H.",SPRINGER-VERLAG,2007
,46,"Evaluation of Enteromorpha prolifera as a feed component in large yellow croaker (Pseudosciaena crocea, Richardson, 1846) diets","Asino, H.; Ai, Q.; Mai, K.",Blackwell Publishing Ltd,2011
,47,How AI & Simulation Benefit Each Other,"Wildberger, A. M.",North Holland,1995
,48,"Human-Centered Cognitive Orthoses: Artificial Intelligence for, Rather Than Instead of, the People","Neuhaus,  Peter; Raj,  Anil; Clancey,  William J.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2015
,49,Modelling of FMS control policy: AIS-based fuzzy expert system,"Prakash, A.; Deshmukh, S.G.",Inderscience,2011
,50,Linking Shopping and Social Networking: Approaches to Social Shopping,"Wang, C.",New York; Curran,2009
,51,Synthesis and biological evaluation of arginyl–diosgenin conjugate as a potential bone tissue engineering agent,"Liao, Ai‐Mei; Jung, Hana; Yu, Ji Won; Lee, Dong Hee; Park, Sang‐Soo; Cai, Bangrong; Chun, ChangJu","John Wiley & Sons, Ltd",2018
,52,A Study on AI Secretary for Personal Telecommunications,"Yoo, J.;Yang, T.",IIITT,1995
,53,Adoption of Cloud Computing in Organizations,"Nuseibeh, H.",Red Hook; Curran,2011
,54,The role of big data and AI in marketing and advertising,unknown,PHARMACEUTICAL MARKETING,2017
,55,AI center management,"Feitsma, H.",KOCH NEFF UND OETINGER,1996
,56,Caulerpa lentillifera polysaccharides enhance the immunostimulatory activity in immunosuppressed mice in correlation with modulating gut microbiotaElectronic supplementary information (ESI) available. See DOI: 10.1039/c9fo00713j,"Sun, Yujiao; Liu, Yang; Ai, Chunqing; Song, Shuang; Chen, Xuefeng",Royal Society of Chemistry,2019
,57,Erratum to: Artificial super intelligence: beyond rhetoric,"Gill, K. S.",SPRINGER VERLAG KG,2016
,58,Legal Issues AI in Legal Research: Casetext and LexisNexis Battle It Out,"Pike, George H.",LEARNED INFORMATION INC,2018
,59,AI voice bots: a services marketing research agenda,"Klaus, Phil; Zaichkowsky, Judy",Emerald Group Publishing Limited,2020
,60,Asimov’s “three laws of robotics�? and machine metaethics,"Anderson, S. L.",SPRINGER VERLAG KG,2008
,61,Characterizing the Adduct of Diketohexose with Nitromethane by NMR Spectroscopy,"He, Y.-w.; Sun, W.-f.; Cao, L.-h.; Zhou, S.-b.; Aisa, H.A.",SCIENCE PRESS,2011
,62,Recent Trends in Context Exploitation for Information Fusion and AI,"Snidaro, Lauro; Garcia, Jesus; Llinas, James; Blasch, Erik",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2019
,63,Alelo's Conversational AI Technologies for Language and Culture Education Environments,"Johnson, W.L.",IOS Press,2009
,64,"AI ARRIVES Healthcare marketers have begun embracing machine learning, natural language processing and other AI techniques to solve vexing problems","Dobrow, Larry",CPS COMMUNICATIONS INC,2019
,65,New Developments using AI in Fault Diagnosis,"Frank, P. M.; Koeppen-Seliger, B.",Pergamon,1995
,66,PBL and AI,"Fukuda, S.",JAPANESE SOC ARTIFICIAL INTELL,2008
,67,Two Dimensional Barcode Applications,"Hwang, C.-S.",AIS,1997
,68,Reciprocal-tutoring-kids: Tutor-tutee role playing systems,"Chan, T. W.; Chou, C. Y.; Lee, M. F.; Chang, M. H.",Association for the Advancement of Computing in Education,1995
,69,Prostate Cancer Biopsy Recommendation through Use of Machine Learning Classification Techniques,"Del Grossi, A.A.; de Mattos Senefonte, H.C.; Quaglio, V.G.",Cham; Springer,2015
,70,Progress in formation of secondary organic aerosol by VOCs from different sources,"Liu, Zi-nan; Guo, Bin; Ren, Ai-ling",CHINA NATIONAL CHEMICAL INFORMATION CENTER,2019
,71,TQM and organisational innovation: a systematic review and research framework,"Lim, Ai-Fen; Nair, Radha Krishnan; Foo, Pik-Yin",Inderscience,2019
,72,Comments on “The Replication of the Hard Problem of Consciousness in AI and Bio-AI�?,"Dournaee, B. H.",Springer Science + Business Media,2010
,73,Electric Power Industry and AI,"Bannai, K.",JAPANESE SOC ARTIFICIAL INTELL,1993
,74,Artificial intelligence (AI) impacting diagnosis of glaucoma and understanding the regulatory aspects of AI-based software as medical device,"Prabhakar, Bala; Singh, Rishi Kumar; Yadav, Khushwant S.","Elsevier Science B.V., Amsterdam.",2021
,75,Semiconductor Manufacturing and AI,Sho Sakurai ; Dohjin Miyamoto ; Ryohei Orihara,Japanese Society for Artificial Intelligence,2020
,76,"On semi-I-regular sets, ABI -sets and decompositions of continuity, RI C-continuity, AI -continuity","Keskin, A.; Yuksel, S.",Springer Science + Business Media,2006
,77,The Impact of Depression on the Development of Mild Cognitive Impairment over 3 Years of Follow-Up: A Population-Based Study,"Lara, Elvira; Koyanagi, Ai; Domènech-Abella, Joan; Miret, Marta; Ayuso-Mateos, Jose Luis; Haro, Josep Maria",S. Karger AG,2017
,78,A novel artificial bee colony optimization strategy-based extreme learning machine algorithm,"Wang, Y.; Wang, A.; Ai, Q.; Sun, H.",Springer Science + Business Media,2017
,79,A report on the ECAI-98 conference from the machine learning perspective,"Smirnov, E. N.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,1998
,80,Why and When Will Banner Blindness Occur? An Analysis Based on the Dual Processing Theory,"Sun, Y.; Lim, K.H.; Peng, J.Z.; Jiang, C.; Chen, X.","Atlanta, Ga.; Association for Information Systems",2008
,81,Factors Influencing Rehospitalisation of Patients with Schizophrenia in Japan: A 1-year Longitudinal Study,"Shimada, Takeshi; Nishi, Ai; Yoshida, Tomotaka; Tanaka, Sachie; Kobayashi, Masayoshi",ELSEVIER SCIENCE B.V; AMSTERDAM,2016
,82,Energetic Aqueous Rechargeable Sodium-Ion Battery Based on Na2CuFe(CN)6-NaTi2(PO4)3 Intercalation Chemistry,"Wu, X. y.; Sun, M. y.; Shen, Y. f.; Qian, J. f.; Cao, Y. l.; Ai, X. p.; Yang, H. x.",WILEY-VCH,2014
,83,Thesis: Instructional planning in intelligent evolutive tutoring systems from a case-based reasoning approach,"Elorriaga, J. A.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,1999
,84,Modeling Methodology 1: Configuring the Neural Network Solution,"Dwinnell, W.","KNOWLEDGE TECHNOLOGY, INC.",1997
,85,Peculiarities of Brain Functioning in Children with Adolescence Idiopathic Scoliosis (AIS) According to EEG Studies,"Pinchuk, D.; Dudin, M.; Bekshayev, S.; Pinchuk, O.",IOS Press; 1999,2012
,86,"Deep Models, Machine Learning, and Artificial Intelligence Applications in National and International Security — Part Two","Zhao, Ying; Flenner, Arjuna",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2019
,87,Data governance and AI Ensuring the quality of data is crucial if artificial intelligence is to be trusted,"Shaw, Gienna",SOURCE MEDIA INC.,2019
,88,Finite element study of effect of parameters on stress distribution of steel shim in elastomeric bearings,Rui-jun Zhang; Ai-qun Li,MULTI SCIENCE,2019
,89,"For faster AI, mix memory and processing","Bourzac, Katherine",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,90,Artificial intelligence (AI) and its implications for market knowledge in B2B marketing,"Paschen, Jeannette; Kietzmann, Jan; Kietzmann, Tim Christian",Emerald Group Publishing Limited,2019
,91,Will AI take my job?,unknown,PERSONNEL PUBLICATIONS LTD,2018
,92,Cryopreservation of hematopoietic stem cells with ladder-style freezing from low temperature refrigerator to liquid nitrogen method versus programmed cooling method,"Ren-bin, Z.; Ai-ling, Z.; Jie, L.; Ze-feng, Y.; Tong-hua, Y.",UNKNOWN,2011
,93,``Brain Science and AI'' for Creating Artificial General Intelligence,"Morikawa,  Koji; Okamoto,  Hiroshi; Yamakawa,  Hiroshi",JAPANESE SOC ARTIFICIAL INTELL,2017
,94,Ethics and Privacy in AI and Big Data: Implementing Responsible Research and Innovation,"Stahl, Bernd Carsten; Wright, David",IEEE COMPUTER SOCIETY,2018
,95,OSWI: a consulting system for pupils and prospective students on the basis of neural networks,"Klüver, C.; Klüver, J. r.; Zurmaar, B. r.",SPRINGER VERLAG KG,2015
,96,"DOE releases $20M for AI, machine learning tools",unknown,John Wiley & Sons Ltd,2019
,97,Reasoning about Perception,"Musto, D.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,1993
,98,Dressings for Preventing Pressure Ulcers,"Huang, Lei; Woo, Kevin Y.; Liu, Li-Bao; Wen, Rui-Juan; Hu, Ai-Ling; Shi, Cheng-Gang",Lippincott Williams and Wilkins,2015
,99,Development of ceramic based on steel slag with different magnesium content,"Ai, X.B.; Li, Y.; Gu, X.M.; Cang, D.Q.",MANEY PUBLISHING,2013
,100,CURATE.AI Digital Therapeutics: Harnessing CURATE.AI as a Digital Therapeutics Platform by Identifying N‐of‐1 Learning Trajectory Profiles (Adv. Therap. 9/2019),"Kee, Theodore; Weiyan, Chee; Blasiak, Agata; Wang, Peter; Chong, Jordan K.; Chen, Jonna; Yeo, B. T. Thomas; Ho, Dean; Asplund, Christopher L.",John Wiley & Sons Ltd,2019
,1,Steps Toward Robust Artificial Intelligence,"Dietterich,  Thomas G.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
